Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,0.11756522345698511,-0.5895062001488415,,0.2705275961031067,1.0,Urban,1.0
LP001003,Male,Yes,1,Graduate,No,-0.10484434715568057,-0.03456126761410544,-0.18753313241484634,0.2705275961031067,1.0,Rural,1.0
LP001005,Male,Yes,0,Graduate,Yes,-0.3829441499043771,-0.5895062001488415,-0.9887618030355718,0.2705275961031067,1.0,Urban,1.0
LP001006,Male,Yes,0,Not Graduate,No,-0.45620227861328827,0.2782392580188691,-0.29091747701106896,0.2705275961031067,1.0,Urban,1.0
LP001008,Male,No,0,Graduate,No,0.1440927472820345,-0.5895062001488415,-0.019533572445984547,0.2705275961031067,1.0,Urban,1.0
LP001011,Male,Yes,2,Graduate,Yes,0.04167191026214185,0.9546243946228776,1.608769854944522,0.2705275961031067,1.0,Urban,1.0
LP001013,Male,Yes,0,Not Graduate,No,-0.5001220200454892,-0.03161726266697156,-0.6139935538742647,0.2705275961031067,1.0,Urban,1.0
LP001014,Male,Yes,3+,Graduate,No,-0.37661970713814014,0.33196734830406244,0.20015815982098856,0.2705275961031067,0.0,Semiurban,1.0
LP001018,Male,Yes,2,Graduate,No,-0.20621111038120038,-0.027937256483054212,0.32938859056626685,0.2705275961031067,1.0,Urban,1.0
LP001020,Male,Yes,1,Graduate,No,1.3459125518327817,3.4467245823717056,2.668459387055804,0.2705275961031067,1.0,Semiurban,1.0
LP001024,Male,Yes,2,Graduate,No,-0.3478083567586163,-0.3319057672746272,-0.9370696307374604,0.2705275961031067,1.0,Urban,1.0
LP001027,Male,Yes,2,Graduate,No,-0.470783632768779,0.08761493769195051,-0.4330709508308751,0.2705275961031067,1.0,Urban,1.0
LP001028,Male,Yes,2,Graduate,No,-0.3701195854061744,2.3935068125345604,0.7429259689511574,0.2705275961031067,1.0,Urban,1.0
LP001029,Male,No,0,Graduate,No,-0.584447923595315,0.4556155560836853,-0.36845573545823596,0.2705275961031067,1.0,Rural,1.0
LP001030,Male,Yes,2,Graduate,No,-0.6817740706090725,-0.18985752857541752,-1.6219909136874353,-3.453339173454631,1.0,Urban,1.0
LP001032,Male,No,0,Graduate,No,-0.04037016673320955,-0.5895062001488415,-0.2263022616384298,0.2705275961031067,1.0,Urban,1.0
LP001034,Male,No,1,Not Graduate,No,-0.27823948633000994,-0.5895062001488415,-0.5493783385016255,-1.591405788675762,new,Urban,1.0
LP001036,Female,No,0,Graduate,No,-0.2933478773826871,-0.5895062001488415,-0.8595313722902934,0.2705275961031067,0.0,Urban,1.0
LP001038,Male,Yes,0,Not Graduate,No,-0.051437941574124194,-0.5895062001488415,-0.12291791704220718,0.2705275961031067,1.0,Rural,1.0
LP001041,Male,Yes,0,Graduate,No,-0.4532157361958986,0.6984959642222303,-0.3555326923837081,0.2705275961031067,1.0,Urban,1.0
LP001043,Male,Yes,0,Not Graduate,No,0.4357198303918489,-0.5895062001488415,-0.49768616620351425,0.2705275961031067,0.0,Urban,1.0
LP001046,Male,Yes,1,Graduate,No,0.13618719382423833,1.4804972783046666,2.229075922521858,0.2705275961031067,1.0,Urban,1.0
LP001047,Male,Yes,0,Not Graduate,No,-0.4532157361958986,0.11374298159776368,-0.3426096493091803,0.2705275961031067,0.0,Semiurban,1.0
LP001050,Others,Yes,2,Not Graduate,No,-0.31882132741336366,0.1159509853081141,-0.3943018216072916,0.2705275961031067,0.0,Rural,1.0
LP001052,Male,Yes,1,Graduate,No,-0.2569823314768247,0.4868956086469828,0.10969685829929375,0.2705275961031067,new,Semiurban,1.0
LP001066,Male,Yes,0,Graduate,Yes,0.7695098652765763,-0.5895062001488415,0.6266185812804069,0.2705275961031067,1.0,Semiurban,1.0
LP001068,Male,Yes,0,Graduate,No,-0.41825562201586663,0.23959919308773697,-0.2650713908620133,0.2705275961031067,1.0,Semiurban,1.0
LP001073,Male,Yes,2,Not Graduate,No,-0.16756173792086354,-0.20678555702143733,-0.42014790775634725,0.2705275961031067,1.0,Urban,1.0
LP001086,Male,No,0,Not Graduate,No,-0.6566519785098535,-0.5895062001488415,-1.3893761383459344,0.2705275961031067,1.0,Urban,1.0
LP001087,Female,No,2,Graduate,No,-0.25118492560777417,0.17703908796114207,-0.29091747701106896,0.2705275961031067,1.0,Semiurban,1.0
LP001091,Male,Yes,1,Graduate,No,-0.17810247586459177,0.650287883212913,0.7558490120256852,0.2705275961031067,new,Urban,1.0
LP001095,Male,No,0,Graduate,No,-0.35360576262766685,-0.5895062001488415,-0.8853774584393491,0.2705275961031067,1.0,Urban,1.0
LP001097,Male,No,1,Graduate,Yes,-0.08569533989124095,-0.5895062001488415,-0.4718400800544586,0.2705275961031067,1.0,Rural,1.0
LP001098,Male,Yes,0,Graduate,No,-0.2951046670399751,0.023950830710180393,-0.36845573545823596,0.2705275961031067,1.0,Semiurban,1.0
LP001100,Male,No,3+,Graduate,No,1.2860060245192595,0.5144956550263629,2.293691137894497,0.2705275961031067,1.0,Rural,1.0
LP001106,Male,Yes,0,Graduate,No,-0.5103114000577599,0.1711510780668743,,0.2705275961031067,1.0,Urban,1.0
LP001109,Male,Yes,0,Graduate,No,-0.5888398977385352,-0.10006537768783423,-0.5493783385016255,0.2705275961031067,0.0,Urban,1.0
LP001112,Female,Yes,0,Graduate,No,-0.2657662797632649,-0.052593297915300444,0.019235556777598944,0.2705275961031067,1.0,Semiurban,1.0
LP001114,Male,No,0,Graduate,No,-0.17810247586459177,2.0637782584555664,0.5361572797587121,0.2705275961031067,1.0,Urban,1.0
LP001116,Male,No,0,Not Graduate,No,-0.2515362835392318,0.024318831328572127,-0.42014790775634725,0.2705275961031067,1.0,Semiurban,1.0
LP001119,Male,No,0,Graduate,No,-0.27753677046709474,-0.5895062001488415,-0.8078391999921821,0.2705275961031067,1.0,Urban,1.0
LP001120,Male,No,0,Graduate,No,-0.5937589087789417,-0.1431214500396672,-1.2342996214516004,0.2705275961031067,1.0,Urban,1.0
LP001123,Male,Yes,0,Graduate,No,-0.4883515293416594,-0.5895062001488415,-0.8724544153648213,0.2705275961031067,new,Urban,1.0
LP001131,Male,Yes,0,Graduate,No,-0.21763024315357263,0.27014324441425097,-0.10999487396767935,0.2705275961031067,1.0,Semiurban,1.0
LP001136,Male,Yes,0,Not Graduate,Yes,-0.08516830299405453,-0.5895062001488415,-0.6010705107997368,0.2705275961031067,1.0,Urban,1.0
LP001137,Female,No,0,Graduate,No,-0.31091577395556746,-0.5895062001488415,-0.7044548553959595,0.2705275961031067,1.0,Urban,1.0
LP001138,Male,Yes,1,Graduate,No,0.08242943031122435,-0.5895062001488415,-1.273068750675184,0.2705275961031067,1.0,Urban,1.0
LP001144,Male,Yes,0,Graduate,No,0.11264621241657861,-0.5895062001488415,0.019235556777598944,0.2705275961031067,1.0,Urban,1.0
LP001146,Female,Yes,0,Graduate,No,-0.44531018273810247,0.6764159271187262,-0.29091747701106896,0.2705275961031067,0.0,Urban,1.0
LP001151,Female,No,0,Graduate,No,-0.2072651841755732,0.24769520669235515,0.019235556777598944,0.2705275961031067,1.0,Semiurban,1.0
LP001155,Female,Yes,0,Not Graduate,No,-0.5712720011656548,0.015486816487170492,-0.5493783385016255,0.2705275961031067,1.0,Semiurban,1.0
LP001157,Female,No,0,Graduate,No,-0.36783575885169995,-0.5895062001488415,-0.29091747701106896,0.2705275961031067,1.0,Semiurban,1.0
LP001164,Female,No,0,Graduate,No,-0.16685902205794834,-0.5895062001488415,-0.3943018216072916,0.2705275961031067,1.0,Semiurban,1.0
LP001179,Male,Yes,2,Graduate,No,-0.09904694128663004,-0.5895062001488415,-0.10999487396767935,0.2705275961031067,1.0,Urban,1.0
LP001186,Female,Yes,1,Graduate,Yes,1.1103270587904557,-0.5895062001488415,1.8543076733605508,0.2705275961031067,0.0,Urban,1.0
LP001194,Male,Yes,2,Graduate,No,-0.4342424078971878,-0.160049478485687,-0.5881474677252091,0.2705275961031067,1.0,Semiurban,1.0
LP001195,Male,Yes,0,Graduate,No,-0.5354334921569788,-0.004017216287591451,-0.6010705107997368,0.2705275961031067,1.0,Semiurban,1.0
LP001197,Male,Yes,0,Graduate,No,-0.3186456484476349,0.22009516031297505,-0.09707183089315152,0.2705275961031067,1.0,Rural,1.0
LP001198,Male,Yes,1,Graduate,No,0.5095049959979465,0.23849519123256177,0.4844651074606008,0.2705275961031067,1.0,Urban,1.0
LP001199,Male,Yes,2,Not Graduate,No,-0.3202267591391941,0.4626075678331283,0.019235556777598944,0.2705275961031067,1.0,Urban,1.0
LP001205,Male,Yes,0,Graduate,No,-0.470783632768779,0.8074241472661837,-0.29091747701106896,0.2705275961031067,1.0,Urban,1.0
LP001206,Male,Yes,3+,Graduate,No,-0.37784945989824176,-0.5895062001488415,-0.5623013815761534,0.2705275961031067,1.0,Urban,1.0
LP001207,Male,Yes,0,Not Graduate,Yes,-0.45163462550433936,0.6797279326842518,0.29061946134268335,-2.5223724810651964,0.0,Rural,1.0
LP001213,Male,Yes,1,Graduate,No,-0.04124856156185357,-0.5895062001488415,,0.2705275961031067,0.0,Rural,1.0
LP001222,Female,No,0,Graduate,No,-0.17810247586459177,-0.5895062001488415,-0.3426096493091803,0.2705275961031067,0.0,Semiurban,1.0
LP001225,Male,Yes,0,Graduate,No,0.09595671067234224,1.1014566413611797,1.4924624672737714,0.2705275961031067,1.0,Semiurban,1.0
LP001228,Male,No,0,Not Graduate,No,-0.3478083567586163,0.2399671937061287,-0.213379218563902,-2.5223724810651964,0.0,Urban,1.0
LP001233,Male,Yes,1,Graduate,No,0.9785678344938529,-0.5895062001488415,2.1903067932982743,0.2705275961031067,1.0,Urban,1.0
